Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
DAM,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,OneSyncSvc,,,ROOT\ControlSet001\Services\OneSyncSvc,2019-03-19T06:22:41.269483,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,p2pimsvc,,,ROOT\ControlSet001\Services\p2pimsvc,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,p2psvc,,,ROOT\ControlSet001\Services\p2psvc,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\parport.sys,Parport,,,ROOT\ControlSet001\Services\Parport,2019-03-19T04:52:18.382812,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 61 72 70 6
DAM,System32\drivers\partmgr.sys,partmgr,,,ROOT\ControlSet001\Services\partmgr,2026-03-05T02:44:25.338371,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 61 72 74 6D 67 72 2E 73 79 73
DAM,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,PcaSvc,,,ROOT\ControlSet001\Services\PcaSvc,2019-03-19T04:53:37.865603,25 73 79 73 74 65 6D 72 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,System32\drivers\pci.sys,pci,,,ROOT\ControlSet001\Services\pci,2026-03-05T02:44:24.791716,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 63 69 2E 73 79 73
DAM,System32\drivers\pciide.sys,pciide,,,ROOT\ControlSet001\Services\pciide,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 63 69 69 64 65 2E 73 79 73
DAM,System32\drivers\pcmcia.sys,pcmcia,,,ROOT\ControlSet001\Services\pcmcia,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 63 6D 63 69 61 2E 73 79 73
DAM,System32\drivers\pcw.sys,pcw,,,ROOT\ControlSet001\Services\pcw,2019-03-19T04:53:37.865603,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 63 77 2E 73 79 73
DAM,system32\drivers\pdc.sys,pdc,,,ROOT\ControlSet001\Services\pdc,2019-03-19T04:53:37.865603,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 64 63 2E 73 79 73
DAM,system32\drivers\peauth.sys,PEAUTH,,,ROOT\ControlSet001\Services\PEAUTH,2026-03-01T06:34:48.124208,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 65 61 75 74 68 2E 73 79 73
DAM,%SystemRoot%\System32\svchost.exe -k PeerDist,PeerDistSvc,,,ROOT\ControlSet001\Services\PeerDistSvc,2019-03-19T06:23:27.628517,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%systemroot%\system32\PerceptionSimulation\PerceptionSimulationService.exe,perceptionsimulation,,,ROOT\ControlSet001\Services\perceptionsimulation,2019-03-19T04:53:37.865603,25 73 79 73 74 65 6D 72 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 50 65 72 63 65 70 74 69 6F 6E 53 6
DAM,System32\drivers\percsas2i.sys,percsas2i,,,ROOT\ControlSet001\Services\percsas2i,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 65 72 63 73 61 73 32 69 2E 73 79 73
DAM,System32\drivers\percsas3i.sys,percsas3i,,,ROOT\ControlSet001\Services\percsas3i,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 65 72 63 73 61 73 33 69 2E 73 79 73
DAM,%SystemRoot%\SysWow64\perfhost.exe,PerfHost,,,ROOT\ControlSet001\Services\PerfHost,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 57 6F 77 36 34 5C 70 65 72 66 68 6F 73 74 2E 65 78 6
DAM,%SystemRoot%\system32\svchost.exe -k LocalService -p,PhoneSvc,,,ROOT\ControlSet001\Services\PhoneSvc,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,PimIndexMaintenanceSvc,,,ROOT\ControlSet001\Services\PimIndexMaintenanceSvc,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,system32\drivers\PktMon.sys,PktMon,,,ROOT\ControlSet001\Services\PktMon,2019-03-19T04:53:37.865603,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 50 6B 74 4D 6F 6E 2E 73 79 73
DAM,%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p,pla,,,ROOT\ControlSet001\Services\pla,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,PlugPlay,,,ROOT\ControlSet001\Services\PlugPlay,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\pmem.sys,pmem,,,ROOT\ControlSet001\Services\pmem,2019-03-19T04:52:18.929729,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 6D 65 6D 2
DAM,\SystemRoot\System32\drivers\pnpmem.sys,PNPMEM,,,ROOT\ControlSet001\Services\PNPMEM,2019-03-19T04:52:02.803446,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 6E 70 6D 6
DAM,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,PNRPAutoReg,,,ROOT\ControlSet001\Services\PNRPAutoReg,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,PNRPsvc,,,ROOT\ControlSet001\Services\PNRPsvc,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\system32\svchost.exe -k NetworkServiceNetworkRestricted -p,PolicyAgent,,,ROOT\ControlSet001\Services\PolicyAgent,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\portcfg.sys,portcfg,,,ROOT\ControlSet001\Services\portcfg,2019-03-19T04:53:37.865603,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 70 6F 72 74 6
DAM,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,Power,,,ROOT\ControlSet001\Services\Power,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\raspptp.sys,PptpMiniport,,,ROOT\ControlSet001\Services\PptpMiniport,2026-03-05T02:44:44.795367,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 72 61 73 70 7
